file_upload,band_label,y1,y2,pixels_in_band,g_top,g_top_count,g_top_pct
d7ce7143-jupyter-org.png,['Supplement'],5996,6373,542880,156,467880,0.8618479221927497
d7ce7143-jupyter-org.png,['Footer'],6372,6545,249120,118,218572,0.8773763648041105
0d1bb443-nodered-org.png,['Banner'],0,49,70560,51,52204,0.7398526077097506
0d1bb443-nodered-org.png,['Nav'],50,118,97920,51,39806,0.406515522875817
0d1bb443-nodered-org.png,['Header'],118,668,792000,0,592591,0.7482209595959596
0d1bb443-nodered-org.png,['Main'],664,5175,6495840,255,4288241,0.6601518818197493
0d1bb443-nodered-org.png,['Supplement'],5177,5345,241920,68,125330,0.5180638227513228
0d1bb443-nodered-org.png,['Footer'],5343,5534,275040,68,187991,0.6835042175683537
0d9f85ba-numpy-org.png,['Nav'],0,228,328320,255,246766,0.7516020955165692
0d9f85ba-numpy-org.png,['Banner'],227,290,90720,50,74286,0.8188492063492063
0d9f85ba-numpy-org.png,['Header'],290,742,650880,255,588057,0.9034799041297935
0d9f85ba-numpy-org.png,['Main'],739,3366,3782880,255,2130100,0.5630894979486529
0d9f85ba-numpy-org.png,['Supplement'],3366,3704,486720,50,445900,0.9161324786324786
f30a75ae-opencv-org.png,['Nav'],0,125,180000,255,125210,0.6956111111111111
f30a75ae-opencv-org.png,['Header'],128,657,761760,0,749732,0.9842102499474901
f30a75ae-opencv-org.png,['Main'],658,3467,4044960,255,967391,0.23915959613939322
f30a75ae-opencv-org.png,['Supplement'],3469,3661,276480,0,180090,0.6513671875
64e3ccf8-www-arduino-cc.png,['Nav'],0,65,93600,89,37063,0.3959722222222222
64e3ccf8-www-arduino-cc.png,['Header'],65,561,714240,12,106907,0.14967937948028673
64e3ccf8-www-arduino-cc.png,['Main'],561,6023,7865280,255,3729211,0.4741358222466333
64e3ccf8-www-arduino-cc.png,['Supplement'],6023,6583,806400,241,733299,0.9093489583333333
64e3ccf8-www-arduino-cc.png,['Footer'],6581,6632,73440,241,61500,0.8374183006535948
a1a492ad-www-arm-com.png,['Nav'],0,78,112320,255,93037,0.828320868945869
